,ResNet50,Label
0,[0.         0.         0.         ... 0.         0.00254655 0.        ],Cats
1,[0. 0. 0. ... 0. 0. 0.],Dogs
2,[0. 0. 0. ... 0. 0. 0.],Dogs
3,[0. 0. 0. ... 0. 0. 0.],Dogs
4,[0. 0. 0. ... 0. 0. 0.],Dogs
5,[0. 0. 0. ... 0. 0. 0.],Dogs
6,[0. 0. 0. ... 0. 0. 0.],Dogs
7,[0. 0. 0. ... 0. 0. 0.],Dogs
8,[0.         0.         0.         ... 0.00285541 0.         0.        ],Dogs
9,[0. 0. 0. ... 0. 0. 0.],Dogs
10,[0.         0.         0.         ... 0.00228356 0.         0.        ],Dogs
11,[0. 0. 0. ... 0. 0. 0.],Dogs
12,[0. 0. 0. ... 0. 0. 0.],Cats
13,[0. 0. 0. ... 0. 0. 0.],Dogs
14,[0. 0. 0. ... 0. 0. 0.],Cats
15,[0.0027486  0.00029161 0.         ... 0.         0.00392768 0.        ],Dogs
16,[0. 0. 0. ... 0. 0. 0.],Cats
17,[0.         0.         0.         ... 0.00298895 0.00332556 0.        ],Cats
18,[0. 0. 0. ... 0. 0. 0.],Cats
19,[0. 0. 0. ... 0. 0. 0.],Cats
20,[0. 0. 0. ... 0. 0. 0.],Cats
21,[0.         0.00285651 0.00171595 ... 0.         0.         0.        ],Dogs
22,[0.         0.         0.         ... 0.01175174 0.         0.        ],Dogs
23,[0.         0.         0.         ... 0.01637707 0.         0.        ],Cats
24,[0.         0.         0.         ... 0.         0.00176832 0.        ],Dogs
25,[0. 0. 0. ... 0. 0. 0.],Dogs
26,[0. 0. 0. ... 0. 0. 0.],Cats
27,[0.         0.         0.         ... 0.01410505 0.         0.        ],Cats
28,[0.00290897 0.         0.         ... 0.         0.         0.        ],Cats
29,[0. 0. 0. ... 0. 0. 0.],Dogs
30,[0. 0. 0. ... 0. 0. 0.],Cats
31,[0.         0.         0.         ... 0.00552979 0.00274707 0.        ],Cats
32,[0. 0. 0. ... 0. 0. 0.],Cats
33,[0.         0.         0.         ... 0.         0.00106105 0.        ],Cats
34,[0.         0.         0.         ... 0.         0.         0.00959516],Dogs
35,[0.         0.         0.         ... 0.         0.         0.00097346],Dogs
36,[0. 0. 0. ... 0. 0. 0.],Cats
37,[0.         0.         0.         ... 0.         0.         0.00755393],Dogs
38,[0.         0.00112301 0.         ... 0.         0.         0.        ],Cats
39,[0.         0.         0.         ... 0.         0.00273433 0.        ],Cats
40,[0.         0.         0.         ... 0.00350782 0.         0.        ],Cats
41,[0.        0.0080087 0.        ... 0.        0.        0.       ],Dogs
42,[0. 0. 0. ... 0. 0. 0.],Cats
43,[0. 0. 0. ... 0. 0. 0.],Cats
44,[0. 0. 0. ... 0. 0. 0.],Dogs
45,[0. 0. 0. ... 0. 0. 0.],Cats
46,[0. 0. 0. ... 0. 0. 0.],Cats
47,[0. 0. 0. ... 0. 0. 0.],Cats
48,[0. 0. 0. ... 0. 0. 0.],Dogs
49,[0. 0. 0. ... 0. 0. 0.],Dogs
50,[0. 0. 0. ... 0. 0. 0.],Dogs
51,[0. 0. 0. ... 0. 0. 0.],Cats
52,[0.         0.         0.         ... 0.00141434 0.         0.        ],Cats
53,[0. 0. 0. ... 0. 0. 0.],Dogs
54,[0.         0.         0.         ... 0.00249937 0.         0.        ],Cats
55,[0.        0.        0.        ... 0.0005176 0.        0.       ],Cats
56,[0. 0. 0. ... 0. 0. 0.],Cats
57,[0. 0. 0. ... 0. 0. 0.],Dogs
58,[0. 0. 0. ... 0. 0. 0.],Dogs
59,[0.         0.         0.         ... 0.00261652 0.         0.        ],Dogs
60,[0.         0.         0.         ... 0.         0.         0.00104353],Cats
61,[0.         0.         0.         ... 0.         0.00131285 0.        ],Cats
62,[0.         0.00046768 0.         ... 0.         0.         0.        ],Dogs
63,[0. 0. 0. ... 0. 0. 0.],Cats
64,[0.         0.         0.         ... 0.         0.00611274 0.        ],Cats
65,[0.00168202 0.         0.         ... 0.         0.         0.        ],Dogs
66,[0.00158364 0.         0.         ... 0.         0.         0.        ],Dogs
67,[0. 0. 0. ... 0. 0. 0.],Cats
68,[0.         0.         0.         ... 0.         0.00021958 0.        ],Cats
69,[0.         0.         0.         ... 0.00546901 0.         0.        ],Cats
70,[0. 0. 0. ... 0. 0. 0.],Cats
71,[0. 0. 0. ... 0. 0. 0.],Dogs
72,[0.00587259 0.         0.         ... 0.         0.         0.        ],Cats
73,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.89534747e-05
 0.00000000e+00 4.48251247e-04]",Cats
74,[0.         0.         0.         ... 0.         0.         0.00091765],Dogs
75,[0. 0. 0. ... 0. 0. 0.],Cats
76,[0.00306164 0.         0.         ... 0.         0.         0.        ],Cats
77,[0. 0. 0. ... 0. 0. 0.],Dogs
78,[0.         0.         0.         ... 0.         0.         0.01405193],Dogs
79,[0. 0. 0. ... 0. 0. 0.],Cats
80,[0.         0.         0.         ... 0.00016748 0.         0.0008794 ],Cats
81,[0.         0.         0.         ... 0.         0.00113895 0.        ],Dogs
82,[0. 0. 0. ... 0. 0. 0.],Dogs
83,[0. 0. 0. ... 0. 0. 0.],Cats
84,[0.         0.         0.         ... 0.         0.00081848 0.        ],Dogs
85,[0. 0. 0. ... 0. 0. 0.],Cats
86,[0. 0. 0. ... 0. 0. 0.],Dogs
87,[0. 0. 0. ... 0. 0. 0.],Dogs
88,[0. 0. 0. ... 0. 0. 0.],Cats
89,[0. 0. 0. ... 0. 0. 0.],Cats
90,[0. 0. 0. ... 0. 0. 0.],Cats
91,[0.         0.         0.00375974 ... 0.00342575 0.         0.00883126],Cats
92,[0.         0.         0.         ... 0.01242599 0.         0.        ],Cats
93,[0. 0. 0. ... 0. 0. 0.],Dogs
94,[0. 0. 0. ... 0. 0. 0.],Cats
95,[0. 0. 0. ... 0. 0. 0.],Dogs
96,[0.         0.         0.         ... 0.01699982 0.         0.        ],Cats
97,[0. 0. 0. ... 0. 0. 0.],Dogs
98,[0. 0. 0. ... 0. 0. 0.],Cats
99,[0. 0. 0. ... 0. 0. 0.],Dogs
100,[0.         0.         0.         ... 0.00670886 0.         0.        ],Dogs
101,[0. 0. 0. ... 0. 0. 0.],Cats
102,[0. 0. 0. ... 0. 0. 0.],Cats
103,[0.         0.         0.01462605 ... 0.         0.         0.        ],Dogs
104,[0.         0.         0.         ... 0.00949521 0.         0.        ],Cats
